So_Lan_Phat_Bieu,So_Lan_Truy_Cap_Tai_Lieu,So_Lan_Xem_Thong_Bao,So_Ngay_Nghi_Hoc,Ket_Qua
2,6,2,Above-7,L
1,7,6,Above-7,L
0,12,3,Above-7,M
0,0,5,Above-7,L
12,26,7,Under-7,M
70,90,41,Under-7,H
7,12,5,Above-7,M
90,70,30,Under-7,M
70,88,55,Under-7,H
77,80,51,Under-7,M
2,5,3,Above-7,L
25,27,0,Above-7,L
11,2,0,Above-7,L
0,8,11,Above-7,L
77,80,12,Above-7,M
25,29,40,Under-7,H
24,35,23,Above-7,M
60,60,3,Under-7,M
21,12,0,Under-7,M
0,4,8,Above-7,L
66,90,55,Above-7,M
70,98,7,Under-7,M
0,6,4,Under-7,L
12,30,0,Above-7,L
2,9,7,Under-7,M
55,33,6,Above-7,L
12,10,20,Under-7,L
70,90,2,Under-7,L
7,9,5,Above-7,L
80,42,20,Under-7,M
0,3,10,Above-7,L
12,60,0,Above-7,L
80,80,15,Under-7,H
70,80,95,Under-7,H
70,80,95,Under-7,H
60,80,50,Under-7,M
100,80,95,Under-7,H
100,85,85,Under-7,M
10,60,5,Above-7,L
19,65,50,Above-7,L
10,75,55,Under-7,M
80,90,55,Under-7,H
10,10,15,Above-7,L
70,75,55,Under-7,M
100,75,50,Under-7,H
10,79,30,Under-7,M
60,55,30,Under-7,M
100,75,50,Under-7,H
80,80,51,Under-7,H
23,63,71,Under-7,M
100,91,98,Under-7,H
10,51,40,Above-7,L
70,50,33,Above-7,M
70,58,73,Under-7,H
70,50,30,Under-7,M
70,50,33,Under-7,M
22,51,48,Above-7,L
62,68,48,Under-7,M
82,89,58,Under-7,H
72,80,58,Under-7,M
70,82,3,Under-7,H
60,82,93,Above-7,M
55,72,83,Above-7,M
72,65,73,Under-7,H
51,82,53,Under-7,M
80,92,83,Under-7,H
60,52,23,Under-7,H
30,12,29,Under-7,M
40,62,83,Under-7,H
60,52,23,Under-7,M
20,22,53,Above-7,L
20,52,23,Above-7,L
50,62,73,Above-7,M
10,2,13,Above-7,L
60,52,23,Under-7,H
15,52,83,Under-7,M
80,42,33,Under-7,H
40,51,20,Under-7,M
60,70,63,Under-7,H
50,62,13,Above-7,L
85,75,62,Under-7,H
25,15,32,Under-7,M
10,35,30,Above-7,L
87,65,82,Under-7,H
85,15,22,Under-7,M
80,71,52,Under-7,M
75,71,72,Under-7,H
85,66,12,Under-7,M
23,25,32,Under-7,L
15,25,37,Above-7,L
95,91,62,Under-7,M
81,75,62,Under-7,M
53,75,72,Under-7,M
15,43,42,Under-7,M
92,65,62,Under-7,H
83,75,62,Under-7,H
27,15,42,Above-7,L
45,95,12,Under-7,M
15,90,52,Under-7,H
45,58,52,Under-7,H
25,5,12,Under-7,M
22,51,42,Under-7,M
29,10,12,Above-7,L
72,51,42,Above-7,H
67,31,42,Under-7,M
17,21,42,Under-7,M
27,41,49,Under-7,M
70,81,39,Under-7,M
27,90,82,Under-7,H
17,61,42,Under-7,M
87,81,42,Under-7,H
7,61,22,Above-7,L
17,50,2,Above-7,L
5,21,42,Above-7,L
27,41,32,Above-7,M
87,88,40,Under-7,M
96,61,42,Under-7,H
57,51,46,Under-7,M
77,69,41,Under-7,M
80,51,40,Under-7,M
62,61,82,Under-7,M
72,83,12,Under-7,H
87,81,22,Under-7,H
72,90,12,Under-7,M
2,11,62,Under-7,L
5,3,2,Under-7,L
73,84,77,Above-7,H
5,17,21,Above-7,L
51,42,12,Above-7,M
9,7,21,Above-7,L
19,72,15,Above-7,M
32,80,58,Above-7,M
32,60,58,Above-7,M
12,8,18,Above-7,L
52,10,13,Above-7,L
72,80,58,Above-7,M
72,80,58,Above-7,M
92,80,88,Under-7,H
72,80,98,Under-7,H
72,80,58,Under-7,M
22,20,18,Above-7,L
12,20,38,Above-7,M
70,92,83,Under-7,H
50,40,52,Under-7,M
80,94,62,Under-7,H
87,48,82,Above-7,M
70,40,2,Above-7,L
65,86,62,Above-7,M
15,6,32,Under-7,H
19,74,32,Above-7,L
69,76,82,Under-7,M
39,26,12,Above-7,L
59,97,42,Under-7,H
10,17,12,Under-7,H
80,87,72,Under-7,H
70,99,66,Under-7,M
80,97,86,Under-7,M
69,34,12,Above-7,L
10,17,12,Above-7,L
61,97,82,Above-7,M
21,27,52,Above-7,M
49,94,42,Above-7,M
70,64,42,Under-7,M
79,84,82,Under-7,H
19,80,12,Above-7,M
11,70,32,Above-7,M
10,8,10,Above-7,M
18,28,40,Above-7,M
90,84,52,Under-7,H
92,81,32,Under-7,M
42,21,2,Under-7,M
22,20,6,Under-7,H
95,82,82,Under-7,H
90,62,80,Under-7,H
72,21,22,Under-7,H
92,31,42,Under-7,H
82,31,52,Under-7,M
72,41,46,Under-7,M
74,71,56,Under-7,H
74,60,56,Under-7,H
95,94,72,Under-7,H
97,87,82,Under-7,H
40,38,32,Above-7,M
41,39,35,Above-7,M
51,79,85,Under-7,H
81,79,91,Under-7,H
71,70,65,Under-7,M
75,71,76,Under-7,M
49,36,32,Above-7,L
42,24,12,Above-7,L
90,86,82,Under-7,H
62,64,72,Under-7,H
90,86,82,Above-7,M
62,64,72,Above-7,M
98,87,86,Under-7,H
72,74,82,Under-7,H
18,17,26,Above-7,M
32,14,32,Above-7,M
10,12,20,Above-7,L
22,34,15,Above-7,L
11,20,21,Under-7,M
12,44,25,Under-7,M
15,50,24,Under-7,M
32,44,29,Under-7,M
65,59,74,Under-7,H
72,64,59,Under-7,H
95,57,74,Above-7,M
82,84,79,Above-7,M
25,29,34,Above-7,M
42,34,29,Above-7,M
55,79,44,Under-7,H
62,64,69,Under-7,H
78,88,74,Under-7,H
72,84,89,Under-7,H
60,92,83,Under-7,H
50,90,83,Under-7,H
60,97,13,Under-7,H
50,95,23,Under-7,H
60,87,23,Above-7,M
50,80,20,Above-7,M
10,15,10,Above-7,L
30,10,20,Above-7,L
24,35,18,Under-7,M
27,20,33,Under-7,M
10,15,10,Above-7,L
30,10,20,Above-7,L
80,77,63,Under-7,M
75,85,73,Under-7,M
40,7,50,Above-7,L
35,2,29,Above-7,L
10,90,30,Under-7,M
25,80,29,Under-7,M
10,8,9,Above-7,L
15,7,12,Above-7,L
70,90,20,Under-7,M
75,80,15,Under-7,M
78,98,10,Under-7,M
79,89,11,Under-7,M
16,90,15,Under-7,M
17,80,13,Under-7,M
40,87,50,Under-7,M
35,92,29,Under-7,M
14,97,15,Under-7,H
13,82,20,Under-7,H
24,97,15,Under-7,H
23,82,20,Under-7,H
20,3,9,Above-7,L
15,4,12,Above-7,L
5,13,6,Above-7,L
7,9,11,Above-7,L
10,94,40,Under-7,M
25,89,21,Under-7,M
30,98,42,Under-7,H
35,97,41,Under-7,H
32,88,32,Under-7,M
25,87,21,Under-7,M
72,98,52,Under-7,H
75,90,51,Under-7,H
20,88,31,Above-7,M
10,98,41,Above-7,M
90,98,41,Under-7,H
80,88,51,Under-7,H
80,95,21,Under-7,H
78,70,31,Under-7,H
10,18,71,Above-7,M
10,58,51,Above-7,M
98,88,60,Under-7,H
75,81,51,Under-7,H
10,17,50,Under-7,M
35,2,29,Under-7,M
10,20,22,Above-7,L
5,9,19,Above-7,L
10,10,40,Above-7,L
35,2,29,Above-7,L
20,90,50,Above-7,M
32,82,59,Above-7,M
10,30,50,Above-7,L
12,22,59,Above-7,L
11,20,20,Above-7,L
10,12,29,Above-7,L
69,82,20,Under-7,H
70,83,29,Under-7,H
89,92,40,Under-7,H
79,93,49,Under-7,H
15,90,21,Under-7,M
20,77,31,Under-7,M
4,10,11,Above-7,L
5,0,1,Above-7,L
88,81,50,Above-7,M
90,88,54,Above-7,M
86,98,50,Under-7,H
90,90,57,Under-7,H
78,91,50,Under-7,H
70,98,54,Under-7,H
80,80,46,Under-7,M
85,82,59,Under-7,M
88,90,86,Under-7,H
89,92,89,Under-7,H
39,71,40,Above-7,M
35,80,34,Above-7,M
76,81,80,Under-7,H
65,89,64,Under-7,H
96,95,70,Under-7,H
80,91,87,Under-7,H
2,9,10,Above-7,L
3,8,19,Above-7,L
50,79,10,Under-7,M
53,88,9,Under-7,M
70,89,12,Under-7,H
59,90,19,Under-7,H
78,80,66,Under-7,M
79,72,79,Under-7,M
10,9,2,Above-7,L
9,7,9,Above-7,L
98,90,86,Under-7,H
89,92,89,Under-7,H
88,90,76,Under-7,H
99,96,89,Under-7,H
82,89,22,Under-7,H
84,92,29,Under-7,H
70,69,46,Above-7,M
74,62,49,Above-7,M
90,79,76,Under-7,H
84,77,79,Under-7,H
80,80,62,Above-7,M
81,82,69,Above-7,M
10,0,2,Above-7,L
11,2,9,Above-7,L
85,89,22,Under-7,H
80,89,23,Under-7,H
95,87,62,Under-7,M
87,79,73,Under-7,M
85,87,72,Above-7,M
79,88,79,Above-7,M
80,81,71,Under-7,M
70,83,70,Under-7,M
80,82,76,Under-7,M
70,82,75,Under-7,M
89,87,86,Under-7,M
90,86,85,Under-7,M
69,77,76,Above-7,M
70,76,65,Above-7,M
75,72,64,Above-7,L
72,76,66,Above-7,L
77,82,74,Under-7,M
71,84,67,Under-7,M
87,92,74,Under-7,H
81,84,77,Under-7,H
15,97,22,Under-7,H
19,98,20,Under-7,H
25,82,52,Above-7,M
29,78,40,Above-7,M
45,87,57,Under-7,M
39,88,43,Under-7,M
85,90,52,Under-7,H
79,91,49,Under-7,H
90,91,80,Under-7,H
80,90,80,Under-7,H
80,83,82,Above-7,M
71,81,83,Above-7,M
72,87,72,Above-7,M
69,77,83,Above-7,M
85,99,42,Under-7,H
89,96,45,Under-7,H
80,82,64,Under-7,H
87,93,63,Under-7,H
15,9,14,Above-7,L
9,6,15,Above-7,L
81,86,86,Under-7,M
78,82,78,Under-7,M
80,87,74,Under-7,M
85,88,79,Under-7,M
2,7,4,Above-7,L
5,4,5,Above-7,L
50,77,14,Under-7,M
55,74,25,Under-7,M
30,17,14,Above-7,L
35,14,23,Above-7,L
